﻿主播ID,主播昵称,抖音号,抖音号（原）,火山号,火山号（原）,粉丝数,上次开播时间,签约类型,运营经纪人,招募经纪人,首播时间,入会时间,西瓜号,备注,分成比-直播音浪收益,视频个播有效天,开播总时长,开播有效时长,涨粉,人气峰值,feed看播时长,作品数,视频播放量,视频点赞量,视频评论量,feed_acu,主播标签
3208814696858499,大话西游2猫猫🐱,41767806330,41767806330,41767806330,41767806330,210,从未开播,普通主播,星河计划,星河计划,从未开播,2024-06-11,-,21村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,94,1,0,0,
3208811244159339,大话西游2佛系青年,38315107170,38315107170,38315107170,38315107170,287,从未开播,普通主播,星河计划,星河计划,从未开播,2024-06-03,-,20村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3208798253625619,瓜皮魔,25324573450,25324573450,25324573450,25324573450,4,1月前,普通主播,星河计划二十六期,星河计划,2026-01-14,2026-01-14,-,18村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3206652080433208,皮卡丘,90097120475,90097120475,90097120475,90097120475,76,1月前,普通主播,星河计划二十八期,星河计划,2026-02-02,2026-02-25,-,17村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,2,2865,23,1,0,
3205806202822363,大话西游27灵猴,yuluotingcha79,2277829077,yuluotingcha79,1780728734,106,2年前,普通主播,星河计划,星河计划,2023-06-08,2024-06-01,-,30村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3204399891757272,大话西游2稻草人,48854183975,48854183975,48854183975,48854183975,1069,1年前,普通主播,星河计划,星河计划,2024-05-08,2024-04-25,-,26村,50,0,0小时0分钟0秒,0小时0分钟0秒,2,0,0小时0分钟0秒,0,5,0,0,0,
3202249280466696,大话西游2带电女孩,choubuqihaoyan,30226284998,choubuqihaoyan,30226284998,986,从未开播,普通主播,星河计划,星河计划,从未开播,2024-06-13,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,20,0,0,0,
3202197551877380,以卜入道,yizherensheng,4131803265,yizherensheng,3883468702,167,2年前,普通主播,大话2免费版怀旧服创作计划,免费版,2021-02-24,2024-07-16,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3201415837396318,星星哥,65369040827,65369040827,65369040827,65369040827,0,从未开播,普通主播,星河计划,星河计划,从未开播,2025-05-22,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3201387634371741,大话搬砖老莫,37166016250,37166016250,,0,2529,1月前,普通主播,星河计划,怀旧服,2023-06-11,2025-07-18,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,0,30,0,0,0,
3200043680269292,Toxic、,35571827030,35571827030,35571827030,35571827030,8,从未开播,普通主播,星河计划,星河计划,从未开播,2025-03-14,-,13村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3197823083611501,逆流而上呀,83761969137,83761969137,83761969137,83761969137,17,10月前,普通主播,星河计划,星河计划,2025-04-12,2025-04-11,-,20村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3197029840852951,人情世故,dahuaxiyou2f90,3713204760,,0,231,从未开播,普通主播,星河计划,星河计划,从未开播,2024-04-27,-,27村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3197029042619240,时光若止Room,L96Ge,3485678664,,0,264,7月前,普通主播,星河计划,免费版,2025-06-11,2025-06-11,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,0,352,7,0,0,
3197023153816744,大话西游 2 倾城,zhuobiyunhan48,2949641246,zhuobiyunhan48,2054984061,336,从未开播,普通主播,星河计划,星河计划,从未开播,2024-03-30,-,3村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,29,-1,0,0,
3197022983948093,达伟,dawei30391,3710964812,,0,48,从未开播,普通主播,星河计划,星河计划,从未开播,2024-06-26,-,1村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3196996426144574,怣忈龘,czykbsys230621,2802435076,czykbsys230621,1854480031,65,从未开播,普通主播,星河计划,星河计划二十六期,从未开播,2024-10-30,-,20村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,4,0,0,0,
3194508494247803,大话西游2帝王仙,id04458086,27750154131,id04458086,27750154131,52,2月前,普通主播,星河计划二十六期,星河计划,2026-01-05,2026-01-03,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1462,0,0,0,
3194500003412922,xy2灵灵,98221667087,98221667087,98221667087,98221667087,76,从未开播,普通主播,星河计划二十四期,星河计划,从未开播,2025-11-20,-,13村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,2,668,4,0,0,
3192580580582596,罗将神水姬,73895184849,73895184849,73895184849,73895184849,3128,2月前,普通主播,星河计划-进阶,星河计划,2024-04-13,2023-12-18,-,5村,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,1,1485,2,1,0,
3191251393582947,阳光四射,87068098429,87068098429,87068098429,87068098429,822,从未开播,普通主播,星河计划,星河计划,从未开播,2024-12-04,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,-1,0,0,
3189046598442264,黄石,93218697182,93218697182,93218697182,93218697182,185,1年前,普通主播,大话2免费版怀旧服创作计划,怀旧服,2024-06-26,2024-07-22,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,7478,39,13,0,
3188232295288877,大话西游2执念,VXvvvxiaolin,2284308845,VXvvvxiaolin,1489899013,149,1日前,普通主播,星河计划,星河计划,2025-09-29,2025-09-30,-,23村,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,0,430,3,0,0,
3188221294160504,小骨头闯天涯,ze26490,3484110701,ze26490,3244144919,21,从未开播,普通主播,星河计划,星河计划,从未开播,2025-09-03,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,10,0,0,0,
3186831480333319,广西周星驰,89046327673,89046327673,89046327673,89046327673,446,从未开播,普通主播,星河计划,星河计划,从未开播,2024-08-14,-,6村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3185713701725283,巨蟹宝宝,76740589355,76740589355,76740589355,76740589355,2248,从未开播,普通主播,星河计划,星河计划,从未开播,2025-06-04,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,54,0,0小时0分钟0秒,2,9827,275,143,0,
3184645138023255,大话西游2何大雷传奇,34687409208,34687409208,34687409208,34687409208,3861,10月前,普通主播,星河计划,星河计划,2022-10-06,2023-12-19,-,8村,50,0,0小时0分钟0秒,0小时0分钟0秒,5,0,0小时0分钟0秒,0,34284,42,8,0,
3182437972074544,星星点点,38467199933,38467199933,38467199933,38467199933,0,从未开播,普通主播,星河计划,星河计划,从未开播,2025-08-10,-,8村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3180210507749128,大话西游2小辉,21948613953,21948613953,21948613953,21948613953,15,从未开播,普通主播,星河计划,星河计划,从未开播,2024-12-29,-,20村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,7,0,0,0,
0,账号已注销,账号已注销,-,账号已注销,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3174987301656632,大话西游2墨白,dahuaxiyou2mobai,3451636666,dahuaxiyou2mobai,3209634862,652,1年前,普通主播,星河计划,星河计划,2024-02-05,2024-03-29,-,11村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,135,0,0,0,
3174982998563310,佳音吖佳音,li260808186,3834992661,li260808186,3591847075,117,2月前,普通主播,星河计划,怀旧服,2024-11-26,2025-08-11,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3174978822872792,💋魂ヾ戰无极,duan19870302,3087857355,duan19870302,3076706088,323,3年前,普通主播,星河计划,怀旧服,2022-03-25,2025-01-24,-,35村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,0,0,0,0,0,
3173660410789700,一锤定音,25726524996,25726524996,25726524996,25726524996,296,1年前,普通主播,星河计划,星河计划,2024-09-26,2024-09-12,-,2村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,14,0,0,0,
3173651009246426,用户9298905535356,95287329559,95287329559,95287329559,95287329559,2,9月前,普通主播,星河计划,星河计划,2025-05-09,2025-05-14,-,3村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
0,账号已注销,账号已注销,-,账号已注销,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3173649478585187,大话西游2Angel,93756668320,93756668320,93756668320,93756668320,15317,8月前,普通主播,星河计划,星河计划,2025-06-10,2025-06-12,-,31村,50,0,0小时0分钟0秒,0小时0分钟0秒,6,0,0小时0分钟0秒,6,878,-27,2,0,
3173609592615961,大话2️⃣三月,53870699094,53870699094,53870699094,53870699094,26,4周前,普通主播,星河计划,星河计划,2025-07-07,2025-07-07,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3171438340873694,大话西游2草薙京,93564696263,93564696263,93564696263,93564696263,36,从未开播,普通主播,星河计划,星河计划,从未开播,2024-06-17,-,30村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3171429530469287,大话西游2白小美,84754291856,84754291856,,0,20,从未开播,普通主播,星河计划,星河计划,从未开播,2024-11-09,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3169231450684344,主动出击,97620246349,97620246349,97620246349,97620246349,415,从未开播,普通主播,星河计划,星河计划,从未开播,2024-09-08,-,15村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3169227224649196,大话西游2情怀玩家,93394211201,93394211201,93394211201,93394211201,12,从未开播,普通主播,星河计划二十五期,星河计划,从未开播,2025-12-02,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3167051570223448,大话西游2猴子,49723177052,49723177052,49723177052,49723177052,18940,2月前,普通主播,星河计划二十六期,怀旧服,2025-12-17,2026-01-01,-,28村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,2,0,0,0,
3167027076796061,大话西游-木子,dahuaxiyoumu,4160066433,,0,85,从未开播,普通主播,星河计划,星河计划,从未开播,2024-08-13,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,10,0,0,0,
3166219815369096,大话西游2傲雪,x156200751,3889748340,x156200751,3643843490,72,6月前,普通主播,星河计划,星河计划,2021-11-25,2024-07-18,-,2村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3161820122849524,大话西游2小仙女,xy2tianquaner,2844007871,xy2tianquaner,1079784582,418,1年前,普通主播,星河计划,星河计划,2025-01-23,2024-08-02,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,11,0,0,0,
3160462928123040,大话西游少年游,93918294952,93918294952,93918294952,93918294952,80,从未开播,普通主播,星河计划,怀旧服,从未开播,2024-08-25,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,49,0,0,0,
3160454061374283,海涛视频,85051546195,85051546195,85051546195,85051546195,22,2年前,普通主播,星河计划,星河计划,2024-02-08,2024-05-29,-,23村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,2,0,0,0,
3160452714733753,天堂的咸鱼#大话西游,83704905665,83704905665,83704905665,83704905665,2027,从未开播,普通主播,星河计划,星河计划,从未开播,2025-05-30,-,13村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1665,-10,0,0,
3158223587119384,大话2嘉哥,65523030732,65523030732,65523030732,65523030732,3669,21小时前,普通主播,星河计划,星河计划,2022-11-09,2024-03-28,-,9村,50,0,0小时0分钟0秒,0小时0分钟0秒,5,0,0小时0分钟0秒,0,615,5,0,0,
3157444272852711,阿超。,achao56673,3707078016,achao56673,3466649428,3,从未开播,普通主播,星河计划二十五期,怀旧服,从未开播,2025-12-15,-,33村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3157423509746084,温馨,dy01m4ffnux7,3629542603,,0,279,从未开播,普通主播,星河计划,星河计划,从未开播,2024-09-05,-,26村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3157407597864749,大话西游2流年,39157254467,39157254467,39157254467,39157254467,8464,1月前,普通主播,星河计划-进阶,星河计划,2025-09-26,2024-06-27,-,11村,50,0,0小时0分钟0秒,0小时0分钟0秒,29,0,0小时0分钟0秒,1,159682,810,96,0,
3157407145404270,@静,hw08101,4206025586,hw08101,3961965999,107,1年前,普通主播,星河计划,怀旧服,2024-10-02,2024-09-29,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,77,0,0,0,
3157400345129535,老九门,dahuaxiyou2l87,3514420586,dahuaxiyou2l87,3272745054,46,1年前,普通主播,星河计划,免费版,2023-11-14,2024-05-06,-,非活跃-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,2,0,0,0,
3157389433376296,带泪的鱼,mzh678899,3521748830,mzh678899,3276471817,404,从未开播,普通主播,星河计划,星河计划,从未开播,2024-07-02,-,11村,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,2,1918,8,-3,0,
3156063978522156,吾愛XY,37897825103,37897825103,37897825103,37897825103,392,7月前,普通主播,星河计划,免费版,2025-06-26,2025-06-28,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3156031867458208,隔壁大小王,84749108992,84749108992,,0,503,从未开播,普通主播,星河计划,星河计划,从未开播,2024-09-05,-,26村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3156024321903603,大话西游2经典☆貔貅,77203554387,77203554387,77203554387,77203554387,1509,11月前,普通主播,星河计划,星河计划,2025-03-18,2024-05-07,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,1,139,1,0,0,
3156022713930256,大话西游2麦穗,75595581040,75595581040,75595581040,75595581040,552,1月前,普通主播,星河计划,星河计划,2024-04-27,2024-05-06,-,26村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3153853732882415,FAKAY,38597924798,38597924798,38597924798,38597924798,779,9月前,普通主播,星河计划,星河计划,2023-07-21,2024-03-31,-,18村,50,0,0小时0分钟0秒,0小时0分钟0秒,2,0,0小时0分钟0秒,0,0,0,0,0,
3153838121162943,大话金鳞,22986205326,22986205326,22986205326,22986205326,101,5月前,普通主播,星河计划,星河计划,2025-09-22,2025-08-05,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3153027999209507,不似少年游,2210012833,2210012833,,0,79,从未开播,普通主播,星河计划,星河计划,从未开播,2024-04-02,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,8,0,0,0,
3151657357290863,大话2托圣,53168072682,53168072682,53168072682,53168072682,1019,4周前,普通主播,星河计划二十五期,星河计划,2025-04-07,2025-12-03,-,21村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,1,605,1,1,0,
3151633258643464,小小故事画大话,29069425283,29069425283,29069425283,29069425283,41,2年前,普通主播,星河计划,免费版,2023-09-25,2025-08-29,-,33村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3149451918064287,沫沫,58674585542,58674585542,58674585542,58674585542,38,10月前,普通主播,星河计划,星河计划,2025-04-19,2024-07-01,-,6村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3147237452954697,大话西游2雪月,55155215388,55155215388,55155215388,55155215388,96,从未开播,普通主播,星河计划,怀旧服,从未开播,2025-06-12,-,33村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,2,1074,7,0,0,
3147223675713488,大话西游-新哥,41377974179,41377974179,41377974179,41377974179,8,从未开播,普通主播,星河计划,免费版,从未开播,2024-11-03,-,7村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,5,0,0,0,
3147222256729449,90后大叔,39958990140,39958990140,,0,103,从未开播,普通主播,星河计划,星河计划二十六期,从未开播,2024-10-29,-,20村,50,0,0小时0分钟0秒,0小时0分钟0秒,3,0,0小时0分钟0秒,1,13731,29,15,0,
3145048875599712,小小,77523599839,77523599839,77523599839,77523599839,754,1年前,普通主播,星河计划,星河计划,2022-11-22,2024-04-13,-,18村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3144244867120083,莲,dyqhlz4gn2n0,2943323634,,0,100,从未开播,普通主播,星河计划,星河计划,从未开播,2024-06-07,-,26村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,-1,0,
3142877749454330,+-×÷,S112803386,38380846056,S112803386,38380846056,18,7月前,普通主播,星河计划,怀旧服,2024-11-11,2024-11-12,-,33村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3142850617289643,咿呀咿嘿呦嘿嘿嘿,90211029206,90211029206,90211029206,90211029206,706,1年前,普通主播,星河计划,星河计划,2023-12-18,2023-12-18,-,11村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
0,账号已注销,账号已注销,-,账号已注销,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3141726517087303,张老实,71583696584,71583696584,71583696584,71583696584,3,1月前,普通主播,星河计划二十五期,怀旧服,2026-01-15,2025-12-18,-,33村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3140645062710456,文佳,95602189455,95602189455,95602189455,95602189455,45,1年前,普通主播,星河计划,星河计划,2024-07-13,2024-07-03,-,6村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3139833626629607,大话西游2果冻,73789586976,73789586976,73789586976,73789586976,72,1周前,普通主播,星河计划,星河计划,2024-10-25,2024-10-19,-,21村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
0,账号已注销,账号已注销,-,账号已注销,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3139795386120797,大话西游2野心,dydw2ead5fvr,3988094772,,0,64,从未开播,普通主播,星河计划二十六期,星河计划,从未开播,2026-01-20,-,11村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,62,1,0,0,
3138481866673673,大话西游2 小不懂,42194772135,42194772135,42194772135,42194772135,6,从未开播,普通主播,星河计划二十七期,星河计划,从未开播,2026-02-02,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3138442854140427,翠花啊,25377011025,25377011025,25377011025,25377011025,1759,从未开播,普通主播,星河计划二十七期,星河计划,从未开播,2026-02-02,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,7,0,0小时0分钟0秒,2,6329,49,101,0,
3138424421506512,大话西游2金鹏,85906724947,85906724947,85906724947,85906724947,598,从未开播,普通主播,星河计划,星河计划,从未开播,2024-05-06,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,647,-1,0,0,
0,账号已注销,账号已注销,-,账号已注销,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3136277010725768,乾坤借速,70479335802,70479335802,70479335802,70479335802,29,从未开播,普通主播,星河计划,星河计划二十六期,从未开播,2024-10-28,-,6村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,11,0,0,0,
3136234984583229,柯普诺,28453193263,28453193263,28453193263,28453193263,4,从未开播,普通主播,星河计划,星河计划,从未开播,2024-04-26,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3134021602380104,大话西游2欧子,26016729574,26016729574,26016729574,26016729574,459,8月前,普通主播,星河计划,星河计划,2025-02-20,2025-02-19,-,2村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,36,1,0,0,
3131880070460615,初九（｡ò ∀ ó｡）,95430549521,95430549521,95430549521,95430549521,6,1年前,普通主播,星河计划,星河计划,2024-05-24,2024-05-29,-,21村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3131064016191149,大话西游菜鸟一个,dahuaxiyouni87,4145973781,dahuaxiyouni87,3902997764,526,1年前,普通主播,星河计划,星河计划,2022-02-15,2024-05-17,-,5村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,1,1390,1,0,0,
3131040018742526,又菜又爱玩的水牛🐃,xiyou2dexiaobai,4148191097,,0,492,4月前,普通主播,星河计划,星河计划,2024-03-22,2024-03-10,-,6村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3131039748721880,网恋被骗一万八,aa888168q,3928543066,aa888168q,3683572924,67,从未开播,普通主播,星河计划,星河计划,从未开播,2024-11-14,-,6村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3129685418970860,迢迢,32762451365,32762451365,32762451365,32762451365,387,从未开播,普通主播,星河计划,星河计划,从未开播,2025-05-15,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,1,0,0小时0分钟0秒,2,54,1,0,0,
3126666158680030,听不懂加强版,lyw2736,3028028188,,0,2078,从未开播,普通主播,星河计划,星河计划,从未开播,2024-08-29,-,15村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,36,0,0,0,
3126650961397944,雨馨平升,yuxinpingshe67,2936467298,yuxinpingshe67,1695070539,73,从未开播,普通主播,星河计划,星河计划,从未开播,2024-06-27,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3125278517761187,墨心,47752720564,47752720564,47752720564,47752720564,15,11月前,普通主播,星河计划,星河计划,2025-03-23,2025-03-07,-,6村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,19,0,0,0,
3125273817258187,大话西游2燕子,43052217564,43052217564,43052217564,43052217564,3738,1年前,普通主播,星河计划,星河计划,2024-05-10,2024-01-30,-,3村,50,0,0小时0分钟0秒,0小时0分钟0秒,2,0,0小时0分钟0秒,2,55118,56,41,0,
3125243533333529,浮沉,91730640743,91730640743,91730640743,91730640743,20,4月前,普通主播,星河计划,星河计划二十七期,2025-09-07,2025-09-09,-,11村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,23,0,0,0,
3123088678460860,大话西游2狐美人,68859159673,68859159673,68859159673,68859159673,694,从未开播,普通主播,星河计划,星河计划,从未开播,2024-07-29,-,25村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,7,0,0,0,
0,账号已注销,账号已注销,-,账号已注销,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3123025519577304,大话西游2几率小王子,dhxy2168,84662623954,dhxy2168,84662623954,19,从未开播,普通主播,星河计划,星河计划,从未开播,2024-07-10,-,13村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3122267321542734,Xy2风华正茂,37125719917,37125719917,37125719917,37125719917,98,从未开播,普通主播,星河计划二十四期,星河计划,从未开播,2025-11-10,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,1,0,0,0,
3122215365912125,笑看风云，任我逍遥,dy7269h4d6w7,3507596301,dy7269h4d6w7,3267848314,44,3年前,普通主播,星河计划,星河计划,2022-03-15,2024-01-23,104817457515,待淘汰,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3120893161386378,九里🌸,li20260202.,84287824627,li20260202.,84287824627,113,1周前,普通主播,星河计划,星河计划,2026-01-21,2024-10-10,-,16村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,3,0,0,0,
3120846729905913,用户8769391382547,37856344162,37856344162,37856344162,37856344162,18,从未开播,普通主播,星河计划,星河计划,从未开播,2024-05-29,-,2村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
0,账号已注销,账号已注销,-,账号已注销,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3118693803104221,大话西游2秋风,95875281906,95875281906,95875281906,95875281906,58,2月前,普通主播,星河计划二十五期,星河计划,2025-12-10,2025-12-09,-,20村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3118666086098088,帕克,68158275773,68158275773,68158275773,68158275773,4,从未开播,普通主播,星河计划,星河计划,从未开播,2024-09-02,-,11村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
3118657318691192,刘哈哈,59390868877,59390868877,59390868877,59390868877,600,1年前,普通主播,星河计划,星河计划,2024-07-26,2024-09-07,-,19村,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,4,0,0,0,
3118656612215784,浪浪山大话,58684393469,58684393469,58684393469,58684393469,36,从未开播,普通主播,星河计划二十七期,星河计划,从未开播,2026-01-28,-,20村,50,0,0小时0分钟0秒,0小时0分钟0秒,3,0,0小时0分钟0秒,1,972,14,9,0,
3118644964111887,秋风扫落叶,47036289572,47036289572,47036289572,47036289572,7,7月前,普通主播,星河计划,怀旧服,2025-07-07,2025-07-06,-,35村-免费版,50,0,0小时0分钟0秒,0小时0分钟0秒,0,0,0小时0分钟0秒,0,0,0,0,0,
